Prestamos,Depositos,Tasa,Arrendamientos,Activos
1010.8526,4103.067,4.75,3906.6956,6409.8892
1021.0308,4117.9424,4.75,3908.0263,6379.0299
1014.8204,4142.1243,4.75,3891.3327,6329.0759
1006.212,4175.2349,4.75,3904.1341,6375.4806
997.3295,4158.4863,4.75,3899.0139,6380.739
985.0384,4173.5616,4.75,3918.8103,6410.8681
972.4925,4201.5239,4.75,3925.186,6441.5454
966.892,4231.6981,4.75,3966.9323,6561.4352
962.7299,4263.718,4.75,4028.8797,6661.8227
959.7806,4315.162,4.75,4086.5366,6755.2629
959.1448,4372.808,4.35,4135.5495,6882.5123
957.4304,4385.262,4.25,4182.0154,6991.4318
949.3908,4382.6317,4.25,4166.5762,6930.1894
944.9444,4407.9554,4.25,4183.0079,6995.7441
939.7252,4443.1542,4.25,4189.8234,7024.1155
940.263,4483.0894,4.25,4229.0949,7070.4414
929.3242,4488.9228,4.25,4277.3172,7183.6808
918.4493,4543.7432,4.22,4304.0774,7267.0006
918.0266,4572.8152,4,4335.4634,7276.0778
905.5974,4605.7525,4,4361.7938,7286.4301
897.1327,4596.5443,4,4374.2808,7279.0532
884.2881,4559.8429,4,4343.7553,7253.3634
880.5929,4615.3223,4,4370.3626,7317.6476
883.444,4657.8575,4,4409.2062,7359.8851
875.8919,4661.1057,4,4444.8691,7412.2729
876.8264,4700.5688,4,4471.2423,7515.9042
870.79,4777.0564,4,4487.708,7536.3414
868.5807,4855.2348,4,4538.3422,7638.9093
866.9749,4903.7234,4,4576.7241,7654.546
869.94,4946.355,4.01,4635.5105,7733.5878
874.8297,4976.0292,4.25,4650.7347,7817.5475
879.6647,4994.5106,4.43,4678.3683,7852.2887
884.8778,5031.8585,4.58,4754.8085,7964.3598
887.5591,5052.4034,4.75,4780.2325,7967.3809
896.8835,5133.4587,4.93,4834.7867,8049.1587
906.877,5182.9889,5.15,4874.0292,8077.4835
921.2617,5192.1641,5.25,4888.9669,8102.719
933.6356,5208.5589,5.49,4927.2924,8171.9915
946.6581,5257.1238,5.58,4978.4657,8256.9612
962.1103,5322.6123,5.75,5026.9471,8301.1571
972.08,5317.409,5.98,5063.2732,8372.7212
975.4887,5379.5762,6.01,5139.563,8421.6701
